ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy,buy_threshold,sell_threshold
SYBX,11,72.73,25.8,168.0,18.16,1.7210957514044516,23.48 # -55.59 # 27.21 # 8.74 # 8.92 # 18.16 # -57.38 # 52.94 # 38.43 # -46.53 # 265.44,23.48 # 27.21 # 8.74 # 8.92 # 18.16 # 52.94 # 38.43 # 265.44,55.42,25.34,-55.59 # -57.38 # -46.53,-53.17,-55.59,114.0,8,3,265.44,-57.38,2015-10-21,30,70
IDN,17,58.82,13.01,193.0,16.69,0.7568921039981455,38.51 # -72.55 # 33.83 # -16.48 # 17.35 # -32.35 # 157.58 # -51.92 # 70.54 # 62.63 # -21.54 # 48.81 # 43.06 # 16.69 # 5.91 # -61.82 # -17.13,38.51 # 33.83 # 17.35 # 157.58 # 70.54 # 62.63 # 48.81 # 43.06 # 16.69 # 5.91,49.49,40.79,-72.55 # -16.48 # -32.35 # -51.92 # -21.54 # -61.82 # -17.13,-39.11,-32.35,152.0,10,7,157.58,-72.55,2006-06-01,30,70
FIXX,10,70.0,7.06,111.0,15.79,1.3114116771932358,29.98 # 15.52 # 6.71 # 38.33 # 16.05 # -14.07 # -50.24 # 18.13 # 36.0 # -25.78,29.98 # 15.52 # 6.71 # 38.33 # 16.05 # 18.13 # 36.0,22.96,18.13,-14.07 # -50.24 # -25.78,-30.03,-25.78,74.0,7,3,38.33,-50.24,2018-08-01,30,70
XPON,2,50.0,0.78,100.0,0.78,1.0115289920104784,-5.65 # 7.21,7.21,7.21,7.21,-5.65,-5.65,-5.65,100.5,1,1,7.21,-5.65,2022-04-25,30,70
BIOR,6,16.67,-27.22,135.0,-18.02,0.07337012507908709,12.4 # -5.85 # -7.94 # -28.1 # -73.81 # -60.0,12.4,12.4,12.4,-5.85 # -7.94 # -28.1 # -73.81 # -60.0,-35.14,-28.1,132.5,1,5,12.4,-73.81,2020-10-30,30,70
AVHI,1,100.0,0.5,23.0,0.5,1.005030200487487,0.5,0.5,0.5,0.5,,,,23.0,1,0,0.5,0.5,2022-06-07,30,70
DCFC,4,50.0,-16.43,92.0,-15.68,0.15045517594759944,44.38 # 31.3 # -62.65 # -78.75,44.38 # 31.3,37.84,37.84,-62.65 # -78.75,-70.7,-70.7,93.5,2,2,44.38,-78.75,2022-01-07,30,70
BYSI,10,70.0,27.74,150.0,24.05,4.0734312500537335,0.89 # 1.41 # 51.56 # 46.68 # 47.56 # 47.02 # 173.71 # -54.01 # -11.32 # -26.05,0.89 # 1.41 # 51.56 # 46.68 # 47.56 # 47.02 # 173.71,52.69,47.02,-54.01 # -11.32 # -26.05,-30.46,-26.05,108.5,7,3,173.71,-54.01,2017-10-23,30,70
INKT,3,33.33,28.74,134.0,-2.08,1.0459497227872927,-56.34 # 144.64 # -2.08,144.64,144.64,144.64,-56.34 # -2.08,-29.21,-29.21,101.0,1,2,144.64,-56.34,2021-12-07,30,70
XGN,5,40.0,1.75,189.0,-16.67,0.7310808682612618,41.9 # 58.69 # -38.53 # -36.62 # -16.67,41.9 # 58.69,50.29,50.29,-38.53 # -36.62 # -16.67,-30.61,-36.62,168.0,2,3,58.69,-38.53,2019-10-10,30,70
OPHC,17,52.94,10.69,236.0,1.56,2.2625840452179085,-4.4 # -3.79 # -3.39 # -51.85 # 64.44 # 6.26 # 25.77 # -13.48 # 58.7 # -18.75 # 37.36 # -36.94 # 33.99 # 1.56 # 86.1 # 13.66 # -13.5,64.44 # 6.26 # 25.77 # 58.7 # 37.36 # 33.99 # 1.56 # 86.1 # 13.66,36.43,33.99,-4.4 # -3.79 # -3.39 # -51.85 # -13.48 # -18.75 # -36.94 # -13.5,-18.26,-13.49,213.0,9,8,86.1,-51.85,2006-08-17,30,70
YQ,4,50.0,-19.58,146.0,1.63,0.05484699152214976,-95.32 # 13.73 # 7.38 # -4.11,13.73 # 7.38,10.55,10.55,-95.32 # -4.11,-49.71,-49.71,97.5,2,2,13.73,-95.32,2021-03-24,30,70
AWRE,15,66.67,3.8,212.0,5.32,1.1681486711399989,21.8 # 30.43 # -52.8 # 19.21 # 5.32 # 16.82 # -12.0 # -1.2 # -12.37 # 13.12 # 2.52 # 16.73 # 28.05 # 4.35 # -22.94,21.8 # 30.43 # 19.21 # 5.32 # 16.82 # 13.12 # 2.52 # 16.73 # 28.05 # 4.35,15.84,16.77,-52.8 # -12.0 # -1.2 # -12.37 # -22.94,-20.26,-12.37,112.0,10,5,30.43,-52.8,2006-07-07,30,70
MCAG,1,100.0,0.4,27.0,0.4,1.004028193416286,0.4,0.4,0.4,0.4,,,,27.0,1,0,0.4,0.4,2022-09-15,30,70
BANL,1,100.0,19.08,42.0,19.08,1.190839702992317,19.08,19.08,19.08,19.08,,,,42.0,1,0,19.08,19.08,2023-09-22,30,70
GREE,14,42.86,-11.38,240.0,-11.2,0.06260928850622663,5.58 # 20.76 # -8.76 # -13.64 # -40.96 # -36.16 # -60.27 # 16.59 # 16.59 # -22.04 # 19.83 # -68.45 # -22.63 # 34.25,5.58 # 20.76 # 16.59 # 16.59 # 19.83 # 34.25,18.93,18.21,-8.76 # -13.64 # -40.96 # -36.16 # -60.27 # -22.04 # -68.45 # -22.63,-34.11,-29.39,203.5,6,8,34.25,-68.45,2006-02-08,30,70
CPSH,14,78.57,21.1,211.0,17.2,4.769860170659358,29.17 # 15.71 # -62.86 # 47.37 # 113.33 # 1.01 # -38.89 # 87.5 # 13.85 # -16.24 # 12.82 # 18.68 # 53.08 # 20.82,29.17 # 15.71 # 47.37 # 113.33 # 1.01 # 87.5 # 13.85 # 12.82 # 18.68 # 53.08 # 20.82,37.58,20.82,-62.86 # -38.89 # -16.24,-39.33,-38.89,142.0,11,3,113.33,-62.86,2006-03-30,30,70
PIXY,9,44.44,-13.51,136.0,-2.08,0.017753505532734908,-13.35 # -71.48 # 4.7 # 41.34 # 0.26 # -2.08 # 69.23 # -57.0 # -93.2,4.7 # 41.34 # 0.26 # 69.23,28.88,23.02,-13.35 # -71.48 # -2.08 # -57.0 # -93.2,-47.42,-57.0,139.0,4,5,69.23,-93.2,2017-08-02,30,70
